time,latitude,GPS Speed,longitude,Gyro Y,GY MA
23.596,36.90231,18,-76.304115,0.074830994,-0.035002578
23.681,36.90231,18,-76.304115,0.074830994,-0.041447206
23.766,36.90231,18,-76.304115,0.016493361,-0.047479501
23.846,36.90231,18,-76.304115,0.016493361,-0.051572298
23.936,36.90231,18,-76.304115,0.016493361,-0.055665095
24.016,36.90231,18,-76.304115,-0.014966198,-0.056703566
24.101,36.90231,18,-76.304115,-0.014966198,-0.056169059
24.186,36.90231,18,-76.304115,-0.004276057,-0.055634552
24.266,36.90231,18,-76.304115,-0.004276057,-0.057085356
24.356,36.90231,18,-76.304115,-0.13316862,-0.058536161
24.536,36.90215,17.75,-76.304054,-0.06994407,-0.053985215
24.621,36.90215,17.75,-76.304054,-0.06994407,-0.052595497
24.706,36.90215,17.75,-76.304054,-0.067500606,-0.04841107
24.786,36.90215,17.75,-76.304054,-0.067500606,-0.044348816
24.876,36.90215,17.75,-76.304054,-0.06627888,-0.04156938
24.956,36.90215,17.75,-76.304054,-0.06627888,-0.038851029
25.04,36.90215,17.75,-76.304054,-0.10598512,-0.036713001
25.126,36.90215,17.75,-76.304054,-0.10598512,-0.032589661
25.216,36.90215,17.75,-76.304054,-0.054061573,-0.027885998
25.3,36.90215,17.75,-76.304054,-0.054061573,-0.025778513
25.386,36.90215,17.75,-76.304054,-0.054061573,-0.024022276
25.496,36.901993,17.75,-76.30401,-0.045814894,-0.022266038
25.576,36.901993,17.75,-76.30401,-0.06536258,-0.020754146
25.661,36.901993,17.75,-76.30401,-0.06536258,-0.018264871
25.746,36.901993,17.75,-76.30401,-0.004276057,-0.014355333
25.826,36.901993,17.75,-76.30401,-0.004276057,-0.013500122
25.916,36.901993,17.75,-76.30401,-0.004276057,-0.014004086
25.996,36.901993,17.75,-76.30401,-0.033292156,-0.014508049
26.081,36.901993,17.75,-76.30401,-0.033292156,-0.013561208
26.166,36.901993,17.75,-76.30401,-0.0421497,-0.007177667
26.256,36.901993,17.75,-76.30401,-0.0421497,-0.000351248
26.341,36.901993,17.75,-76.30401,0.013744468,0.001267545
26.436,36.901844,17.75,-76.30397,0.013744468,9.16E-05
26.516,36.901844,17.75,-76.30397,-0.011911872,0.001267545
26.601,36.901844,17.75,-76.30397,-0.011911872,0.003726278
26.686,36.901844,17.75,-76.30397,-0.023518313,0.003222314
26.776,36.901844,17.75,-76.30397,-0.023518313,0.003298672
26.866,36.901844,17.75,-76.30397,-0.011911872,0.004474588
26.956,36.901844,17.75,-76.30397,-0.011911872,0.005070181
27.036,36.901844,17.75,-76.30397,-0.018936822,0.008353582
27.121,36.901844,17.75,-76.30397,-0.018936822,0.01198823
27.216,36.901844,17.75,-76.30397,-0.015577064,0.014660766
27.296,36.901844,17.75,-76.30397,-0.015577064,0.017165313
27.381,36.901844,17.75,-76.30397,0.01282817,0.018020525
27.466,36.901684,17.75,-76.30393,0.01282817,0.017455474
27.546,36.901684,17.75,-76.30393,-0.014355334,0.022815817
27.636,36.901684,17.75,-76.30393,-0.014355334,0.029535334
27.716,36.901684,17.75,-76.30393,-0.014355334,0.030970868
27.806,36.901684,17.75,-76.30393,0.09437868,0.032406401
27.896,36.901684,17.75,-76.30393,0.09437868,0.032650747
27.976,36.901684,17.75,-76.30393,-0.009773844,0.032895094
28.06,36.901684,17.75,-76.30393,-0.009773844,0.038347066
28.136,36.901684,17.75,-76.30393,0.03726278,0.043951755
28.226,36.901684,17.75,-76.30393,0.03726278,0.047204612
28.316,36.901684,17.75,-76.30393,-0.021991149,0.047815477
28.426,36.901684,17.75,-76.30393,-0.021991149,0.051389039
28.516,36.901527,17.75,-76.30389,0,0.06169739
28.596,36.901527,17.75,-76.30389,0,0.070906184
28.681,36.901527,17.75,-76.30389,0.05375614,0.072616607
28.766,36.901527,17.75,-76.30389,0.05375614,0.071639223
28.846,36.901527,17.75,-76.30389,0.034513887,0.063865963
28.936,36.901527,17.75,-76.30389,0.034513887,0.057054815
29.016,36.901527,17.75,-76.30389,0.001527163,0.052564956
29.1,36.901527,17.75,-76.30389,0.001527163,0.049724432
29.186,36.901527,17.75,-76.30389,0.12003502,0.0451124
29.266,36.901527,17.75,-76.30389,0.12003502,0.034574975
29.356,36.901527,17.75,-76.30389,0.014355334,0.024037549
29.456,36.90137,17.75,-76.30383,0.014355334,0.017821996
29.536,36.90137,17.75,-76.30383,0.099265605,0.011606442
29.621,36.90137,17.75,-76.30383,0.099265605,0.003176502
29.706,36.90137,17.75,-76.30383,0.099265605,-0.005253439
29.786,36.90137,17.75,-76.30383,0.102319926,-0.011484264
29.876,36.90137,17.75,-76.30383,0.102319926,-0.017867806
29.956,36.90137,17.75,-76.30383,0.049480084,-0.025671609
30.036,36.90137,17.75,-76.30383,0.049480084,-0.030833421
30.126,36.90137,17.75,-76.30383,0.18417588,-0.035582898
30.206,36.90137,17.75,-76.30383,0.18417588,-0.047067165
30.292,36.90137,17.75,-76.30383,0.034208454,-0.057406059
30.376,36.90137,17.75,-76.30383,0.034208454,-0.060246583
30.456,36.901226,17.75,-76.30377,-0.10170906,-0.063316181
30.546,36.901226,17.75,-76.30377,-0.10170906,-0.059589903
30.626,36.901226,17.75,-76.30377,-0.055283304,-0.054687709
30.711,36.901226,17.75,-76.30377,-0.055283304,-0.052106804
30.796,36.901226,17.75,-76.30377,-0.090713486,-0.053252176
30.876,36.901226,17.75,-76.30377,-0.090713486,-0.052626039
30.971,36.901226,17.75,-76.30377,-0.090713486,-0.050885073
31.056,36.901226,17.75,-76.30377,-0.10995574,-0.049144108
31.13,36.901226,17.75,-76.30377,-0.10995574,-0.03755294
31.216,36.901226,17.75,-76.30377,-0.0693332,-0.025961772
31.296,36.901226,17.75,-76.30377,-0.0693332,-0.016401731
31.391,36.901226,17.75,-76.30377,-0.025350908,-0.013622294
31.476,36.901062,17.75,-76.30372,-0.025350908,-0.013041972
31.556,36.901062,17.75,-76.30372,-0.05375614,-0.010659598
31.646,36.901062,17.75,-76.30372,-0.05375614,-0.006856962
